T,P,v,u,h,s
36.16,6,23.739,2425,2567.4,8.3304
80,6,27.132,2487.3,2650.1,8.5804
120,6,30.219,2544.7,2726,8.784
160,6,33.302,2602.7,2802.5,8.9693
200,6,36.383,2661.4,2879.7,9.1398
240,6,39.462,2721,2957.8,9.2982
280,6,42.54,2781.5,3036.8,9.4464
320,6,45.618,2843,3116.7,9.5859
360,6,48.696,2905.5,3197.7,9.718
400,6,51.774,2969,3279.6,9.8435
440,6,54.851,3033.5,3362.6,9.9633
500,6,59.467,3132.3,3489.1,10.1336
72.69,35,4.526,2473,2631.4,7.7158
80,35,4.625,2483.7,2645.6,7.7564
120,35,5.163,2542.4,2723.1,7.9644
160,35,5.696,2601.2,2800.6,8.1519
200,35,6.228,2660.4,2878.4,8.3237
240,35,6.758,2720.3,2956.8,8.4828
280,35,7.287,2780.9,3036,8.6314
320,35,7.815,2842.5,3116.1,8.7712
360,35,8.344,2905.1,3197.1,8.9034
400,35,8.872,2968.6,3279.2,9.0291
440,35,9.4,3033.2,3362.2,9.149
500,35,10.192,3132.1,3488.8,9.3194
89.95,70,2.365,2494.5,2660,7.4797
100,70,2.434,2509.7,2680,7.5341
120,70,2.571,2539.7,2719.6,7.6375
160,70,2.841,2599.4,2798.2,7.8279
200,70,3.108,2659.1,2876.7,8.0012
240,70,3.374,2719.3,2955.5,8.1611
280,70,3.64,2780.2,3035,8.3162
320,70,3.905,2842,3115.3,8.4504
360,70,4.17,2904.6,3196.5,8.5828
400,70,4.434,2968.2,3278.6,8.7086
440,70,4.698,3032.9,3361.8,8.8286
500,70,5.095,3131.8,3488.5,8.9991
99.63,100,1.694,2506.1,2675.5,7.3594
100,100,1.696,2506.7,2676.2,7.3614
120,100,1.793,2537.3,2716.6,7.4668
160,100,1.984,2597.8,2796.2,7.6597
200,100,2.172,2658.1,2875.3,7.8343
240,100,2.359,2718.5,2954.5,7.9949
280,100,2.546,2779.6,3034.2,8.1445
320,100,2.732,2841.5,3114.6,8.2849
360,100,2.917,2904.2,3195.9,8.4175
400,100,3.103,2967.9,3278.2,8.5435
440,100,3.288,3032.6,3361.4,8.6636
500,100,3.565,3131.6,3488.1,8.8342
111.37,150,1.159,2519.7,2693.6,7.2233
120,150,1.188,2533.3,2711.4,7.2693
160,150,1.317,2595.2,2792.8,7.4665
